date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:42	133366/133366	---M-Z	200	added ('OK')	text/html	etag:%22208f6-5df3444fba3a0-gzip%22	https://themesdesign.in/vuesy/layouts/index.html	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/index.html	(from )
11:26:44	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Dec%202022%2010:27:57%20GMT	https://themesdesign.in/robots.txt		(from )
11:26:44	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-5deb43f177ddd%22	https://themesdesign.in/vuesy/layouts/assets/images/favicon.ico	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/assets/images/favicon.ico	(from https://themesdesign.in/vuesy/layouts/index.html)
11:26:44	1931/1931	---M-Z	200	added ('OK')	text/css	etag:%2278b-5deb43f1ad93e-gzip%22	https://themesdesign.in/vuesy/layouts/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesdesign.in/vuesy/layouts/index.html)
11:26:45	13872/13872	---M-Z	200	added ('OK')	text/css	etag:%223630-5deb43f1ccd3e-gzip%22	https://themesdesign.in/vuesy/layouts/assets/libs/swiper/swiper-bundle.min.css	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/assets/libs/swiper/swiper-bundle.min.css	(from https://themesdesign.in/vuesy/layouts/index.html)
11:26:46	237808/237808	---M-Z	200	added ('OK')	text/css	etag:%223a0f0-5deb43f153bbd-gzip%22	https://themesdesign.in/vuesy/layouts/assets/css/bootstrap.min.css	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/assets/css/bootstrap.min.css	(from https://themesdesign.in/vuesy/layouts/index.html)
11:26:47	124563/124563	---M-Z	200	added ('OK')	text/css	etag:%221e693-5deb43f152c1d-gzip%22	https://themesdesign.in/vuesy/layouts/assets/css/app.min.css	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/assets/css/app.min.css	(from https://themesdesign.in/vuesy/layouts/index.html)
11:26:47	361753/361753	---MCZ	200	added ('OK')	text/css	etag:%2258519-5deb43f153bbd-gzip%22	https://themesdesign.in/vuesy/layouts/assets/css/icons.min.css	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/assets/css/icons.min.css	(from https://themesdesign.in/vuesy/layouts/index.html)
11:26:48	669/669	---M--	200	added ('OK')	image/svg+xml	etag:%2229d-5deb43f17acbd%22	https://themesdesign.in/vuesy/layouts/assets/images/logo-sm.svg	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/assets/images/logo-sm.svg	(from https://themesdesign.in/vuesy/layouts/index.html)
11:26:48	93158/93158	---M-Z	200	added ('OK')	text/html	etag:%2216be6-5df3444fbe220-gzip%22	https://themesdesign.in/vuesy/layouts/ui-alerts.html	C:/Users/PC/Documents/Template/cbt/themesdesign.in/vuesy/layouts/ui-alerts.html	(from https://themesdesign.in/vuesy/layouts/index.html)
